"著者","題目","出典","要約","年月","DOI/Handle"
"桶間椋，五藤大介，山里敬也，山下史洋，柴山 大樹","畳込みニューラルネットワークによる2波LEO-MIMO制御信号のドップラーシフト推定","電子情報通信学会 総合大会, B-3-7, p.199, 広島","","2020年3月",","
"T. Yamazato","Visible Light Communications for Automotive Intelligence","The Optical Networking and Communication Conference & Exhibition (OFC2020), San Diego, USA","","2020年3月",","
"有末知矢","高度道路交通システムのための高速投映画像によるイメージセンサ可視光通信方式","修士論文","","2020年3月",","
"Y.H.J. Lai","Kalman-Filter-Based Localization and Tracking of an Approaching Target with an Ultrasonic Sensor Array","graduation thesis","A single ultrasonic sensor has a limited detection range of less than 4m. Based on previous study, 8 ultrasonic sensors arranged in an array can increase that range up to 20 m, however the experiment was only limited to target detection at static conditions. In this study, we introduce the use of a Kalman Filter to determine speed and distance of an approaching target using the ultrasonic sensor array. The distance information obtained from the estimation is then used to attempt to localize the position of the target using the trilateration technique.","2020年3月",","
"中島康雄","1bit A/D変換器に雑音を活用した受信機の解析","博士論文","","2020年3月",","
"三谷拓矢","緊急車両の病院収容所要時間短縮のための車車間・路車間通信データの分析","修士論文","","2020年3月",","
"五藤大介","複数衛星・マルチアンテナシステムにおける空間多重伝送方式の研究","博士論文","","2020年1月",",00031424"
"T. Arisue, T. Yamazato, H, Okada, M. Kinoshita, S. Arai, T. Yendo, K. Kamakura, T. Fujii","BER Measurement for Transmission Pattern Design of ITS Image Sensor Communication Using DMD Projector","IEEE Consumer Communications and Networking Conference (CCNC), Las Vegas, US","This paper presents an image sensor communication (ISC) using a digital micromirror device (DMD) projector as a transmitter. In particular, we focus on ISC for intelligent transport systems (ITSs) because DMD projectors are expected to be used in road traffic, such as vehicle headlights, street lights, and traffic signs. The DMD projector controls light patterns by switching tilt of micromirrors at high speed. Compared to the conventional LED array transmitter, DMD projector can design and alter the shape of the light pattern and data rate of transmission more easily. In the proposed system, the data rate can be easily increased by increasing the number of multiplexes. However, as the number of multiplexes is increased, the number of received pixels on the image sensor is decreased, and thus the performance of symbol detection deteriorates. Therefore, the purpose of this paper is to examine the relation between the num- ber of received pixels per cell and communication performance for transmission pattern design. Hence, we experimentally clarify this relation using our prototype system via a DMD projector and a high-speed camera.","2020年1月","10.1109/CCNC46108.2020.9045147,"
"R. Huang, T. Yamazato, H. Okada, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Range Estimation for Traffic Light based on Visible Light Communication using Stereo Cameras","Workshop on Optical Wireless Communication for Smart City (OWC2), pp.49-52, Toyota, Japan","The recognition of traffic light is important in self-driving cars nowadays. In this paper, we proposed a
ranging method for traffic light on the road based on stereo ranging. By introducing the idea of visible light commu-
nication, it is simple to extract the traffic light from a complicated background. Experimental result shows that it can
work well for the real traffic light.","2019年12月",","
"T. Yamamoto, T. Yamazato, H, Okada, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Nonlinearity Mitigation of Received Luminance Using Inverse Pattern of the LED array in Image Sensor Communication","Workshop on Optical Wireless Communication for Smart City (OWC2), pp.53-56, Toyota, Japan","In this research, we describe visible light communication (VLC) using an LED array as a transmitter and a high-speed image sensor as a receiver. Such VLC is called an image sensor communication (ISC), and it assigns a symbol to the multilevel brightness of the LED. An issue is a nonlinearity caused by both LED and image
sensors. In order to increase the data rate, it is necessary to handle this nonlinearity. In this paper, we first show the nonlinearity by experimental results. We then show that we can ease such nonlinearity by an introduction of
an inverse pattern used to track the LED array. We show by the experimental result that the inverse pattern can mitigate the nonlinearity and thus improve the data rate.","2019年12月",","
"K. Yamamura, K. Kamakura, M. Kinoshita, T. Yamazato","Three-Frame Demodulation for Non-Synchronous Square Wave Quadrature Amplitude Modulation","Workshop on Optical Wireless Communication for Smart City (OWC2), pp.33-36, Toyota, Japan","","2019年12月",","
"T. Arisue, T. Yamazato, H, Okada, M. Kinoshita, S. Arai, T. Yendo, K. Kamakura, T. Fujii","An Experiment of Image Sensor Communication Using Digital Micromirror Device Projector as a Vehicle Headlight","Workshop on Optical Wireless Communication for Smart City (OWC2), pp.1-4, Toyota, Japan","This paper presents an image sensor communication (ISC) using a digital micromirror device (DMD) projector as a transmitter. In particular, we focus on ISC for intelligent transport systems (ITSs). DMD projectors are expected to use in road traffic, such as vehicle headlights, street lights, and projectors of traffic signs. Our proposed system projects data patterns on a road or signage for transmission in addition to primary lighting/display function. In this paper, we report a basic experiment of the proposed system using the DMD projector as a vehicle headlight in driving conditions.","2019年12月",","
"K. Takahashi, K. Kamakura, M. Kinoshita, T. Yamazato","Nonlinear Companding Scheme for Parallel Transmission for Image-Sensor-Based Visible Light Communication","Workshop on Optical Wireless Communication for Smart City (OWC2), pp.9-12, Toyota, Japan","","2019年12月",","
"亀川智史，木下雅之，山里敬也，岡田啓，藤井俊彰，荒井伸太郎，圓道知博，鎌倉浩嗣","イメージセンサ可視光通信におけるプリコードPWMの性能評価","電子情報通信学会論文誌, vol.J102-B, no.12, pp.962-965","イメージセンサ可視光通信は，情報源を空間的に分離できることから，太陽光などの外乱の除去や，複数の情報源との同時通信が可能である．そのため，イメージセンサ可視光通信はITS (Intelligent Transportation System)のような屋外・移動環境に適している．本研究では，イメージセンサ可視光通信をITSへ応用させることを検討する．送信信号の変調方式としてPWM (Pulse Width Modulation)を採用する．撮影画像からの受信輝度値として平均値を用いるとき，送信波形のデューティ比(送信輝度値)と受信輝度値の間に非線形性が生じる．従来研究ではデューティ比が変調多値数に応じて均一になるように波形を生成している．そのため，非線形性によって通信性能が劣化することが考えられる．そこで，本論文では，非線形性に対応するため，事前に得た結果から，受信輝度値が均一に得られるように，デューティ比が不均一なプリコードPWM波形を提案し，それを用いて特性改善を図る．","2019年12月","10.14923/transcomj.2019JBL4002,"
